,TIMESTAMP,FORECAST
0,20131101 1:00,0.20270236
1,20131101 2:00,0.18907772
2,20131101 3:00,0.08760515
3,20131101 4:00,0.06338287
4,20131101 5:00,0.0606712
5,20131101 6:00,0.08847089
6,20131101 7:00,0.17665093
7,20131101 8:00,0.3429956
8,20131101 9:00,0.24948357
9,20131101 10:00,0.096208796
10,20131101 11:00,0.025795966
11,20131101 12:00,0.043116122
12,20131101 13:00,0.045530155
13,20131101 14:00,0.03833583
14,20131101 15:00,0.05872548
15,20131101 16:00,0.04248475
16,20131101 17:00,0.025795966
17,20131101 18:00,0.025795966
18,20131101 19:00,0.025795966
19,20131101 20:00,0.025795966
20,20131101 21:00,0.056303333
21,20131101 22:00,0.25835064
22,20131101 23:00,0.4894733
23,20131102 0:00,0.51863796
24,20131102 1:00,0.3704702
25,20131102 2:00,0.33274144
26,20131102 3:00,0.46145213
27,20131102 4:00,0.39751166
28,20131102 5:00,0.76684415
29,20131102 6:00,0.7536631
30,20131102 7:00,0.76451486
31,20131102 8:00,0.6522488
32,20131102 9:00,0.8246549
33,20131102 10:00,0.8018851
34,20131102 11:00,0.68052197
35,20131102 12:00,0.6022304
36,20131102 13:00,0.5716845
37,20131102 14:00,0.38557214
38,20131102 15:00,0.42740434
39,20131102 16:00,0.22079796
40,20131102 17:00,0.46759188
41,20131102 18:00,0.4488986
42,20131102 19:00,0.5842072
43,20131102 20:00,0.46163386
44,20131102 21:00,0.44759047
45,20131102 22:00,0.48679566
46,20131102 23:00,0.21173991
47,20131103 0:00,0.2602853
48,20131103 1:00,0.25649732
49,20131103 2:00,0.36590683
50,20131103 3:00,0.2560116
51,20131103 4:00,0.22006357
52,20131103 5:00,0.297342
53,20131103 6:00,0.32300973
54,20131103 7:00,0.32689258
55,20131103 8:00,0.49101633
56,20131103 9:00,0.52550846
57,20131103 10:00,0.31626022
58,20131103 11:00,0.2841722
59,20131103 12:00,0.6222435
60,20131103 13:00,0.8314703
61,20131103 14:00,0.9050714
62,20131103 15:00,0.9388833
63,20131103 16:00,0.9918808
64,20131103 17:00,0.991045
65,20131103 18:00,0.9749644
66,20131103 19:00,0.96266013
67,20131103 20:00,0.9844423
68,20131103 21:00,0.9164161
69,20131103 22:00,0.9342688
70,20131103 23:00,0.9581213
71,20131104 0:00,0.98740995
72,20131104 1:00,0.9684932
73,20131104 2:00,0.95832217
74,20131104 3:00,0.88292295
75,20131104 4:00,0.6424267
76,20131104 5:00,0.340667
77,20131104 6:00,0.2976401
78,20131104 7:00,0.32317263
79,20131104 8:00,0.37099642
80,20131104 9:00,0.33979726
81,20131104 10:00,0.39284435
82,20131104 11:00,0.48898318
83,20131104 12:00,0.8005852
84,20131104 13:00,0.9810897
85,20131104 14:00,0.9634702
86,20131104 15:00,1.0017093
87,20131104 16:00,1.0001341
88,20131104 17:00,0.9863658
89,20131104 18:00,0.9931628
90,20131104 19:00,1.0024184
91,20131104 20:00,0.9960805
92,20131104 21:00,0.9792377
93,20131104 22:00,0.96649164
94,20131104 23:00,0.87491053
95,20131105 0:00,0.82576555
96,20131105 1:00,0.8703316
97,20131105 2:00,0.60087913
